COPPos,ID,,,,,
-1586.368865,3014.432398,297.2555723,2141.410431,895.2588967,3054.523984,0
-1587.125653,3016.292409,308.9857518,2153.439725,896.8863668,3060.816943,0
-1570.55618,3017.690582,317.1878911,2192.622198,895.5251088,3056.528643,0
-1566.187718,3009.261055,610.7637122,2645.34277,0,,
-1575.417065,3026.990464,618.2048709,2675.480812,0,,
-1575.048466,3026.055649,624.5592174,2673.529132,0,,
-1572.646823,3022.235738,621.2981791,2685.537431,0,,
-1559.109218,3028.664927,632.7270528,2713.240899,0,,
-1554.344508,3019.313626,628.5873143,2723.089625,0,,
-1554.639273,3020.286126,667.6996716,2750.291767,0,,
-1559.621177,3029.525564,668.6753593,2754.748961,0,,
-1543.252053,3031.080249,668.9196039,2763.554644,0,,
-1544.113075,3032.88542,676.1049431,2748.87311,0,,
-1505.025224,3018.613602,682.2522535,2763.599144,0,,
-1553.766076,2987.469806,800.3678899,2816.892559,0,,
-1490.862456,3056.195329,758.6300479,2809.749705,0,,
-1473.025858,3047.010751,757.9265553,2831.922598,0,,
-1463.450009,3020.05272,762.1229162,2870.079931,0,,
-1439.920537,3037.018123,763.5552771,2893.030693,0,,
-1438.469111,3033.833258,643.5420488,2844.396582,0,,
